epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1057.29,1.45413,2.27902,1.81535,1.34197,0,1,0.9114,0.95563,0.77351,1,0.54674,0.77335,0.60055,1.826,1.61059,1.95935,1.76744,0,0.000666237,0.000666237,0.000666237
2,2305.61,1.46349,2.1275,1.57739,1.35565,0,1,0.92511,0.96239,0.78394,1,0.5952,0.79757,0.61428,1.72193,1.49058,1.84239,1.57162,0,0.00130651,0.00130651,0.00130651
3,3538.61,1.41436,2.10871,1.52437,1.32988,0,1,0.82624,0.91305,0.75808,1,0.49584,0.7479,0.58898,1.74349,2.02862,2.02853,1.64878,0,0.00192039,0.00192039,0.00192039
4,4809.27,1.34002,2.08059,1.44124,1.29656,0,1,0.92266,0.96121,0.7931,1,0.59667,0.79831,0.60669,1.5902,1.59658,1.65794,1.53208,0,0.0018812,0.0018812,0.0018812
5,6044,1.29363,2.02803,1.38584,1.26962,0,1,0.92903,0.96445,0.8138,1,0.62163,0.8108,0.62302,1.3986,1.61149,1.56552,1.37727,0,0.0018416,0.0018416,0.0018416
